"","date","parties","value","size","name","firm","date_from","sample_size"
"283","2021-06-21","UKIP",2.44,1,"line UKIP","","",""
"284","2021-06-21","Green",5.08,1,"line Green","","",""
"285","2021-06-21","SNP",3.77,1,"line SNP","","",""
"286","2021-06-21","PLPW",1,1,"line PLPW","","",""
"287","2021-06-21","BP",2.34,1,"line BP","","",""
"288","2021-06-21","ChUK",NA,1,"line ChUK","","",""
"289","2021-06-22","Con",42.57,1,"line Con","","",""
"290","2021-06-22","Lab",32.9,1,"line Lab","","",""
"291","2021-06-22","LibDem",8.8,1,"line LibDem","","",""
"292","2021-06-22","UKIP",2.36,1,"line UKIP","","",""
"293","2021-06-22","Green",5.18,1,"line Green","","",""
"294","2021-06-22","SNP",3.93,1,"line SNP","","",""
"295","2021-06-22","PLPW",1,1,"line PLPW","","",""
"296","2021-06-22","BP",2.51,1,"line BP","","",""
"297","2021-06-22","ChUK",NA,1,"line ChUK","","",""
"298","2021-06-23","Con",42.47,1,"line Con","","",""
"299","2021-06-23","Lab",32.9,1,"line Lab","","",""
"300","2021-06-23","LibDem",8.75,1,"line LibDem","","",""
"301","2021-06-23","UKIP",2.28,1,"line UKIP","","",""
"302","2021-06-23","Green",5.29,1,"line Green","","",""
"303","2021-06-23","SNP",4.08,1,"line SNP","","",""
"304","2021-06-23","PLPW",1,1,"line PLPW","","",""
"305","2021-06-23","BP",2.68,1,"line BP","","",""
"306","2021-06-23","ChUK",NA,1,"line ChUK","","",""
"307","2021-06-24","Con",42.38,1,"line Con","","",""
"308","2021-06-24","Lab",32.91,1,"line Lab","","",""
"309","2021-06-24","LibDem",8.69,1,"line LibDem","","",""
"310","2021-06-24","UKIP",2.21,1,"line UKIP","","",""
"311","2021-06-24","Green",5.4,1,"line Green","","",""
"312","2021-06-24","SNP",4.24,1,"line SNP","","",""
"313","2021-06-24","PLPW",1,1,"line PLPW","","",""
"314","2021-06-24","BP",2.84,1,"line BP","","",""
"315","2021-06-24","ChUK",NA,1,"line ChUK","","",""
"316","2021-06-25","Con",42.3,1,"line Con","","",""
"317","2021-06-25","Lab",33.04,1,"line Lab","","",""
"318","2021-06-25","LibDem",8.6,1,"line LibDem","","",""
"319","2021-06-25","UKIP",2.13,1,"line UKIP","","",""
"320","2021-06-25","Green",5.28,1,"line Green","","",""
"321","2021-06-25","SNP",4.25,1,"line SNP","","",""
"322","2021-06-25","PLPW",1,1,"line PLPW","","",""
"323","2021-06-25","BP",2.74,1,"line BP","","",""
"324","2021-06-25","ChUK",NA,1,"line ChUK","","",""
"325","2021-06-26","Con",42.2,1,"line Con","","",""
"326","2021-06-26","Lab",33.09,1,"line Lab","","",""
"327","2021-06-26","LibDem",8.75,1,"line LibDem","","",""
"328","2021-06-26","UKIP",2.05,1,"line UKIP","","",""
"329","2021-06-26","Green",5.23,1,"line Green","","",""
"330","2021-06-26","SNP",4.1,1,"line SNP","","",""
"331","2021-06-26","PLPW",1,1,"line PLPW","","",""
"332","2021-06-26","BP",2.64,1,"line BP","","",""
"333","2021-06-26","ChUK",NA,1,"line ChUK","","",""
"334","2021-06-27","Con",42.12,1,"line Con","","",""
"335","2021-06-27","Lab",33.09,1,"line Lab","","",""
"336","2021-06-27","LibDem",8.82,1,"line LibDem","","",""
"337","2021-06-27","UKIP",1.98,1,"line UKIP","","",""
"338","2021-06-27","Green",5.2,1,"line Green","","",""
"339","2021-06-27","SNP",4.19,1,"line SNP","","",""
"340","2021-06-27","PLPW",1,1,"line PLPW","","",""
"341","2021-06-27","BP",2.53,1,"line BP","","",""
"342","2021-06-27","ChUK",NA,1,"line ChUK","","",""
"343","2021-06-28","Con",42.05,1,"line Con","","",""
"344","2021-06-28","Lab",33.09,1,"line Lab","","",""
"345","2021-06-28","LibDem",8.87,1,"line LibDem","","",""
"346","2021-06-28","UKIP",1.9,1,"line UKIP","","",""
"347","2021-06-28","Green",5.21,1,"line Green","","",""
"348","2021-06-28","SNP",4.34,1,"line SNP","","",""
"349","2021-06-28","PLPW",1,1,"line PLPW","","",""
"350","2021-06-28","BP",2.71,1,"line BP","","",""
"351","2021-06-28","ChUK",NA,1,"line ChUK","","",""
"352","2021-06-29","Con",42.02,1,"line Con","","",""
"353","2021-06-29","Lab",33.05,1,"line Lab","","",""
"354","2021-06-29","LibDem",8.89,1,"line LibDem","","",""
